source_id,source_text_normalized,source_type,relation,target_id,target_text_normalized,target_type,edge_count
N148,apoe epsilon4,gene,risk_factor_of,N2,alzheimer's disease,disease,1
N1139,heterozygote,gene,risk_factor_of,N4,dementia,disease,1
N1140,homozygote,gene,risk_factor_of,N4,dementia,disease,1
N148,apoe epsilon4,gene,risk_factor_of,N4,dementia,disease,1
N84,donepezil,drug,hyponym_of,N1142,cholinesterase inhibitor,drug,1
N84,donepezil,drug,treatment_for,N2,alzheimer's disease,disease,1
N1142,cholinesterase inhibitor,drug,treatment_for,N2,alzheimer's disease,disease,1
N1143,cholinergic activity,other,associated_with,N1144,adverse effects,other,1
N1146,nausea,disease,hyponym_of,N1145,gastrointestinal symptoms,disease,1
N1147,vomiting,disease,hyponym_of,N1145,gastrointestinal symptoms,disease,1
N1148,diarrhea,disease,hyponym_of,N1145,gastrointestinal symptoms,disease,1
N84,donepezil,drug,treatment_for,N6,cognitive impairment,disease,1
N1150,e'jiao,drug,abbreviation_for,N325,colla corii asini,gene,1
N1152,deposition of amyloid beta,other,characteristic_of,N2,alzheimer's disease,disease,1
N1153,deposition of amyloid beta ( abeta ),other,characteristic_of,N2,alzheimer's disease,disease,1
N27,amyloid beta,gene,characteristic_of,N2,alzheimer's disease,disease,1
N1154,oxidative stress,disease,characteristic_of,N2,alzheimer's disease,disease,1
N145,inflammation,disease,characteristic_of,N2,alzheimer's disease,disease,1
N1155,dysfunction,disease,characteristic_of,N2,alzheimer's disease,disease,1
N1156,loss of cholinergic neurons,disease,characteristic_of,N2,alzheimer's disease,disease,1
N1157,colla corii asini,drug,treatment_for,N1158,feebleness-related diseases,disease,1
N111,cca,disease,abbreviation_for,N1157,colla corii asini,drug,1
N326,ccad,gene,abbreviation_for,N325,colla corii asini,gene,1
N1160,orac,other,abbreviation_for,N1159,oxygen radical absorbance capacity,other,1
N1166,fgd,other,abbreviation_for,N1165,cold water fish skin,other,1
N1168,h2o2,drug,abbreviation_for,N1167,hydrogen peroxide,drug,1
N20,ache,gene,abbreviation_for,N62,acetylcholinesterase,gene,1
N1174,cca,method,treatment_for,N2,alzheimer's disease,disease,1
N2,alzheimer's disease,disease,hyponym_of,N1176,neurological dementias,disease,1
N327,lewy body dementia,disease,hyponym_of,N1176,neurological dementias,disease,1
N182,alphasyn,gene,abbreviation_for,N90,alpha-synuclein,gene,1
N112,sme,method,abbreviation_for,N1177,spearmint extract,drug,1
N1179,ra,drug,abbreviation_for,N1178,rosmarinic acid,drug,1
N1181,tem,method,abbreviation_for,N1180,transmission electron microscopy,method,1
N26,tacrine,drug,treatment_for,N1184,infected wounds,disease,1
N1183,antibacterial drugs,drug,treatment_for,N1184,infected wounds,disease,1
N26,tacrine,drug,hyponym_of,N62,acetylcholinesterase,gene,1
N26,tacrine,drug,treatment_for,N1189,anticholinergic syndrome,disease,1
N26,tacrine,drug,treatment_for,N1188,acute anticholinergic syndrome,disease,1
N1193,rnp,gene,abbreviation_for,N1192,ribonucleoprotein,gene,1
N150,amyotrophic lateral sclerosis,disease,hyponym_of,N165,neurological diseases,disease,1
N330,als,disease,abbreviation_for,N150,amyotrophic lateral sclerosis,disease,1
N140,frontotemporal dementia,disease,hyponym_of,N12,neurodegenerative diseases,disease,1
N18,alzheimer disease,disease,hyponym_of,N12,neurodegenerative diseases,disease,1
N1195,ecog,other,abbreviation_for,N1194,everyday cognition,other,1
N1197,adas13,method,abbreviation_for,N1196,alzheimer's disease assessment scale 13-item cognitive subscale,method,1
N332,lme,method,abbreviation_for,N1198,random forest and linear mixed effects,method,1
N183,emvi,gene,associated_with,N183,emvi,gene,1
N1203,epps,drug,abbreviation_for,N1202,4 - ( 2-hydroxyethyl ) - 1-piperazinepropanesulfonic acid,drug,1
N11,bvftd,disease,abbreviation_for,N140,frontotemporal dementia,disease,1
N19,mmse,method,abbreviation_for,N1208,mini-mental state exam,method,1
N1211,pbm,method,abbreviation_for,N1209,near-infrared photobiomodulation,method,1
N1212,dysregulation of the brain's default mode network,disease,associated_with,N1,ad,disease,1
N1213,dmn,disease,abbreviation_for,N1212,dysregulation of the brain's default mode network,disease,1
N50,adas-cog,method,abbreviation_for,N1214,alzheimer's disease assessment scale,method,1
N17,memantine,drug,treatment_for,N6,cognitive impairment,disease,1
N17,memantine,drug,treatment_for,N2,alzheimer's disease,disease,1
N236,nmda,drug,abbreviation_for,N1216,n-methyl-d-aspartate,drug,1
N17,memantine,drug,treatment_for,N99,cognitive disorders,disease,1
N184,pasat,method,abbreviation_for,N1218,paced auditory serial addition test,method,1
N1220,itt,method,abbreviation_for,N1219,intent-to-treat,method,1
N1222,angiotensin converting enzyme,gene,associated_with,N2,alzheimer's disease,disease,1
N336,ace,gene,abbreviation_for,N1222,angiotensin converting enzyme,gene,1
N1223,case-control study,method,help_diagnose,N1,ad,disease,1
N185,ata,disease,associated_with,N1,ad,disease,1
N1239,c . sinica,drug,treatment_for,N2,alzheimer's disease,disease,1
N186,alpha-viniferin,gene,treatment_for,N2,alzheimer's disease,disease,1
N73,adam10 gene,gene,treatment_for,N2,alzheimer's disease,disease,1
N1240,neuronal degeneration,disease,associated_with,N2,alzheimer's disease,disease,1
N1240,neuronal degeneration,disease,associated_with,N1242,calcium-binding proteins,gene,1
N1240,neuronal degeneration,disease,associated_with,N1241,impaired calcium homeostasis,other,1
N1243,cbps,gene,abbreviation_for,N1242,calcium-binding proteins,gene,1
N138,cr,drug,abbreviation_for,N339,calretinin,drug,1
N1244,pv,drug,abbreviation_for,N340,parvalbumin,drug,1
N1252,pde-5,gene,abbreviation_for,N1251,phosphodiesterase-5,gene,1
N336,ace,gene,abbreviation_for,N1253,angiotensin i-converting enzyme,gene,1
N159,mao,gene,abbreviation_for,N1254,monoamine oxidase a,gene,1
N1256,e-ntdase,gene,abbreviation_for,N1255,ecto-5 ' nucleotidase,gene,1
N1265,chronic cerebral hypoperfusion,disease,associated_with,N16,cognitive decline,disease,1
N1265,chronic cerebral hypoperfusion,disease,associated_with,N165,neurological diseases,disease,1
N1265,chronic cerebral hypoperfusion,disease,associated_with,N88,vascular dementia,disease,1
N1265,chronic cerebral hypoperfusion,disease,associated_with,N2,alzheimer's disease,disease,1
N347,cch,disease,abbreviation_for,N1265,chronic cerebral hypoperfusion,disease,1
N88,vascular dementia,disease,hyponym_of,N16,cognitive decline,disease,1
N88,vascular dementia,disease,hyponym_of,N165,neurological diseases,disease,1
N187,vad,disease,abbreviation_for,N88,vascular dementia,disease,1
N2,alzheimer's disease,disease,hyponym_of,N16,cognitive decline,disease,1
N2,alzheimer's disease,disease,hyponym_of,N165,neurological diseases,disease,1
N188,exercise,method,treatment_for,N1266,cognitive deficit,disease,1
N348,treadmill exercise,method,treatment_for,N6,cognitive impairment,disease,1
N350,bdnf,gene,abbreviation_for,N1268,brain-derived neurotrophic factor,gene,1
N188,exercise,method,treatment_for,N187,vad,disease,1
N188,exercise,method,treatment_for,N16,cognitive decline,disease,1
N1270,ci,method,abbreviation_for,N1269,confidence interval,method,1
N1272,shorter telomere length,other,associated_with,N351,health outcomes,other,1
N189,lvppa,disease,abbreviation_for,N1273,logopenic variant primary progressive aphasia,disease,1
N117,nph,disease,abbreviation_for,N250,normal pressure hydrocephalus,disease,1
N354,intraventricular pressure monitoring,method,help_diagnose,N117,nph,disease,1
N1278,sleep problem,disease,risk_factor_of,N4,dementia,disease,1
N4,dementia,disease,associated_with,N319,insomnia,disease,1
N4,dementia,disease,associated_with,N1279,hypersomnia,disease,1
N4,dementia,disease,associated_with,N130,sleep disorders,disease,1
N4,dementia,disease,associated_with,N1281,sleep debt,other,1
N4,dementia,disease,associated_with,N1280,circadian rhythm sleep disorders,disease,1
N319,insomnia,disease,hyponym_of,N130,sleep disorders,disease,1
N1279,hypersomnia,disease,hyponym_of,N130,sleep disorders,disease,1
N1280,circadian rhythm sleep disorders,disease,hyponym_of,N130,sleep disorders,disease,1
N1281,sleep debt,other,hyponym_of,N130,sleep disorders,disease,1
N1282,sleep deterioration,disease,risk_factor_of,N4,dementia,disease,1
N355,salvia miltiorrhiza,drug,treatment_for,N1286,cardiovascular diseases,disease,1
N355,salvia miltiorrhiza,drug,treatment_for,N1287,central nervous system disturbances,disease,1
N1285,lamiaceae,other,abbreviation_for,N355,salvia miltiorrhiza,drug,1
N20,ache,gene,hyponym_of,N1289,cholinesterases,gene,1
N356,buche,gene,hyponym_of,N1289,cholinesterases,gene,1
N262,amyloid beta-protein,gene,risk_factor_of,N2,alzheimer's disease,disease,1
N118,abeta25-35,gene,associated_with,N1298,cellular apoptosis,other,1
N54,arrb1,gene,abbreviation_for,N1299,beta-arrestin 1,gene,1
N120,m30,drug,associated_with,N1306,transgene-related cognitive decline,disease,1
N190,age,other,risk_factor_of,N1310,ccr2 / 5-mediated,gene,1
N363,traumatic brain injury,disease,hyponym_of,N12,neurodegenerative diseases,disease,1
N363,traumatic brain injury,disease,risk_factor_of,N12,neurodegenerative diseases,disease,1
N55,tbi,disease,abbreviation_for,N363,traumatic brain injury,disease,1
N190,age,other,risk_factor_of,N1311,acquired brain injury,disease,1
N1312,tbi-induced inflammatory response,disease,associated_with,N1314,loss of neurological function,disease,1
N1323,cenicriviroc,drug,treatment_for,N55,tbi,disease,1
N1323,cenicriviroc,drug,hyponym_of,N1324,ccr2 / 5 antagonist,drug,1
N75,dlb,disease,abbreviation_for,N1328,dementia with lewy bodies,disease,1
N121,alpha-syn,gene,abbreviation_for,N90,alpha-synuclein,gene,1
N7,abeta42,gene,abbreviation_for,N227,amyloid beta1-42,gene,1
N1334,glm,method,abbreviation_for,N1333,age-corrected general linear models,method,1
N365,rbd,disease,abbreviation_for,N1337,rem sleep behavior disorder,disease,1
