example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
213,"FINDINGS Of 28 , 991 patients screened , 444 were randomly assigned to receive either adapted cognitive behaviour therapy ( CBT-HA group , 219 participants ) or standard care ( standard care group , 225 ) , with 205 participants in the CBT-HA group and 212 in the standard care group included in the analyses of the primary endpoints .",CBT-HA,cbt-ha,method,abbreviation_for,cognitive behaviour therapy,cognitive behaviour therapy,method
214,"At 1 year , improvement in health anxiety in the patients in the CBT-HA group was 298 points greater than in those in the standard care group ( 95 % CI 164-433 , p < 00001 ) , and twice as many patients receiving cognitive behaviour therapy achieved normal levels of health anxiety compared with those in the control group ( 139 % vs 73 % ; odds ratio 215 , 95 % CI 109-423 , p = 00273 ) .",cognitive behaviour therapy,cognitive behaviour therapy,method,treatment_for,health anxiety,health anxiety,disease
214,"At 1 year , improvement in health anxiety in the patients in the CBT-HA group was 298 points greater than in those in the standard care group ( 95 % CI 164-433 , p < 00001 ) , and twice as many patients receiving cognitive behaviour therapy achieved normal levels of health anxiety compared with those in the control group ( 139 % vs 73 % ; odds ratio 215 , 95 % CI 109-423 , p = 00273 ) .",cognitive behaviour therapy,cognitive behaviour therapy,method,treatment_for,health anxiety,health anxiety,disease
222,Obsessive-compulsive disorder as a risk factor for schizophrenia : a nationwide study .,Obsessive-compulsive disorder,obsessive-compulsive disorder,disease,risk_factor_of,schizophrenia,schizophrenia,disease
223,"IMPORTANCE Despite a remarkable co-occurrence of obsessive-compulsive disorder ( OCD ) and schizophrenia , little is known about the clinical and etiological relationship of these 2 disorders .",OCD,ocd,disease,abbreviation_for,obsessive-compulsive disorder,obsessive-compulsive disorder,disease
231,Incidence rate ratios ( IRRs ) and accompanying 95 % confidence intervals are used as measures of relative risk .,IRRs,irrs,method,abbreviation_for,Incidence rate ratios,incidence rate ratios,method
232,"RESULTS The presence of prior diagnosis of OCD was associated with an increased risk of developing schizophrenia ( IRR = 6 . 90 ; 95 % CI , 6 . 25-7 . 60 ) and schizophrenia spectrum disorders ( IRR = 5 . 77 ; 95 % CI , 5 . 33-6 . 22 ) later in life .",OCD,ocd,disease,risk_factor_of,schizophrenia,schizophrenia,disease
232,"RESULTS The presence of prior diagnosis of OCD was associated with an increased risk of developing schizophrenia ( IRR = 6 . 90 ; 95 % CI , 6 . 25-7 . 60 ) and schizophrenia spectrum disorders ( IRR = 5 . 77 ; 95 % CI , 5 . 33-6 . 22 ) later in life .",OCD,ocd,disease,risk_factor_of,schizophrenia spectrum disorders,schizophrenia spectrum disorders,disease
233,"Similarly , offspring of parents diagnosed as having OCD had an increased risk of schizophrenia ( IRR = 4 . 31 ; 95 % CI , 2 . 72-6 . 43 ) and schizophrenia spectrum disorders ( IRR = 3 . 10 ; 95 % CI , 2 . 17-4 . 27 ) .",offspring of parents,offspring of parents,Health_factors,risk_factor_of,schizophrenia,schizophrenia,disease
233,"Similarly , offspring of parents diagnosed as having OCD had an increased risk of schizophrenia ( IRR = 4 . 31 ; 95 % CI , 2 . 72-6 . 43 ) and schizophrenia spectrum disorders ( IRR = 3 . 10 ; 95 % CI , 2 . 17-4 . 27 ) .",offspring of parents,offspring of parents,Health_factors,risk_factor_of,schizophrenia spectrum disorders,schizophrenia spectrum disorders,disease
233,"Similarly , offspring of parents diagnosed as having OCD had an increased risk of schizophrenia ( IRR = 4 . 31 ; 95 % CI , 2 . 72-6 . 43 ) and schizophrenia spectrum disorders ( IRR = 3 . 10 ; 95 % CI , 2 . 17-4 . 27 ) .",OCD,ocd,disease,risk_factor_of,schizophrenia,schizophrenia,disease
233,"Similarly , offspring of parents diagnosed as having OCD had an increased risk of schizophrenia ( IRR = 4 . 31 ; 95 % CI , 2 . 72-6 . 43 ) and schizophrenia spectrum disorders ( IRR = 3 . 10 ; 95 % CI , 2 . 17-4 . 27 ) .",OCD,ocd,disease,risk_factor_of,schizophrenia spectrum disorders,schizophrenia spectrum disorders,disease
235,CONCLUSIONS AND RELEVANCE A diagnosis of OCD was associated with higher rates of schizophrenia and schizophrenia spectrum disorders .,OCD,ocd,disease,risk_factor_of,schizophrenia,schizophrenia,disease
235,CONCLUSIONS AND RELEVANCE A diagnosis of OCD was associated with higher rates of schizophrenia and schizophrenia spectrum disorders .,OCD,ocd,disease,risk_factor_of,schizophrenia spectrum disorders,schizophrenia spectrum disorders,disease
237,"We found that microRNA-34a , under chronic stress , is significantly up-regulated in the mouse raphe nuclei , where its recruitment is necessary to induce depression-like behavioral alterations and impact the function of the serotonergic system .",microRNA-34a,microrna-34a,gene,associated_with,serotonergic system,serotonergic system,region
237,"We found that microRNA-34a , under chronic stress , is significantly up-regulated in the mouse raphe nuclei , where its recruitment is necessary to induce depression-like behavioral alterations and impact the function of the serotonergic system .",microRNA-34a,microrna-34a,gene,associated_with,mouse raphe nuclei,mouse raphe nuclei,region
237,"We found that microRNA-34a , under chronic stress , is significantly up-regulated in the mouse raphe nuclei , where its recruitment is necessary to induce depression-like behavioral alterations and impact the function of the serotonergic system .",microRNA-34a,microrna-34a,gene,associated_with,depression-like behavioral alterations,depression-like behavioral alterations,symptom
240,"BACKGROUND Schizophrenia is caused by a combination of genetic and environmental factors , as first evidenced by twin studies .",genetic and environmental factors,genetic and environmental factors,Health_factors,risk_factor_of,Schizophrenia,schizophrenia,disease
243,"METHODS In this parallel analysis , we studied 750 male patients from the Gttingen Research Association for Schizophrenia ( GRAS ) dataset ( Germany ) with schizophrenia for whom both genome-wide coverage of single-nucleotide polymorphisms and deep clinical phenotyping data were available .",GRAS,gras,method,abbreviation_for,Gttingen Research Association for Schizophrenia,gttingen research association for schizophrenia,method
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",perinatal brain insults,perinatal brain insults,disease,hyponym_of,environmental hazards,environmental hazards,Health_factors
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",cannabis use,cannabis use,Health_factors,hyponym_of,environmental hazards,environmental hazards,Health_factors
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",neurotrauma,neurotrauma,disease,hyponym_of,environmental hazards,environmental hazards,Health_factors
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",psychotrauma,psychotrauma,disease,hyponym_of,environmental hazards,environmental hazards,Health_factors
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",urbanicity,urbanicity,Health_factors,hyponym_of,environmental hazards,environmental hazards,Health_factors
244,"Specifically , we investigated the potential effect of schizophrenia risk alleles as identified in the most recent large genome-wide association study versus the effects of environmental hazards ( ie , perinatal brain insults , cannabis use , neurotrauma , psychotrauma , urbanicity , and migration ) , alone and upon accumulation , on age at disease onset , age at prodrome , symptom expression , and socioeconomic parameters .",migration,migration,Health_factors,hyponym_of,environmental hazards,environmental hazards,Health_factors
245,"FINDINGS In this study , we could show that frequent environmental factors become a major risk for early schizophrenia onset when accumulated ( prodrome begins up to 9 years earlier ; p = 2910 ( - 10 ) ) .",environmental factors,environmental factors,Health_factors,risk_factor_of,schizophrenia,schizophrenia,disease
245,"FINDINGS In this study , we could show that frequent environmental factors become a major risk for early schizophrenia onset when accumulated ( prodrome begins up to 9 years earlier ; p = 2910 ( - 10 ) ) .",environmental factors,environmental factors,Health_factors,risk_factor_of,early schizophrenia,early schizophrenia,disease
246,"In particular , cannabis use-an avoidable environmental risk factor-is highly significantly associated with earlier age at prodrome ( p = 3810 ( - 20 ) ) .",cannabis,cannabis,drug,associated_with,age,age,Health_factors
249,Trial of Prazosin for Post-Traumatic Stress Disorder in Military Veterans .,Post-Traumatic Stress Disorder,post-traumatic stress disorder,disease,occurs_in,Military Veterans,military veterans,Health_factors
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",prazosin,prazosin,drug,treatment_for,nightmares,nightmares,disease
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",prazosin,prazosin,drug,treatment_for,PTSD,ptsd,disease
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",prazosin,prazosin,drug,hyponym_of,1-adrenoreceptor antagonist,1-adrenoreceptor antagonist,drug
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",nightmares,nightmares,disease,associated_with,PTSD,ptsd,disease
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",nightmares,nightmares,disease,associated_with,post-traumatic stress disorder,post-traumatic stress disorder,disease
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",post-traumatic stress disorder,post-traumatic stress disorder,disease,occurs_in,military veterans,military veterans,Health_factors
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",PTSD,ptsd,disease,occurs_in,military veterans,military veterans,Health_factors
250,"BACKGROUND In randomized trials , prazosin , an 1-adrenoreceptor antagonist , has been effective in alleviating nightmares associated with post-traumatic stress disorder ( PTSD ) in military veterans .",PTSD,ptsd,disease,abbreviation_for,post-traumatic stress disorder,post-traumatic stress disorder,disease
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",Clinician-Administered PTSD Scale,clinician-administered ptsd scale,method,help_diagnose,distressing dreams,distressing dreams,disease
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",Clinician-Administered PTSD Scale,clinician-administered ptsd scale,method,help_diagnose,recurrent distressing dreams,recurrent distressing dreams,disease
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",CAPS,caps,method,help_diagnose,distressing dreams,distressing dreams,disease
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",CAPS,caps,method,abbreviation_for,Clinician-Administered PTSD Scale,clinician-administered ptsd scale,method
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",CAPS,caps,method,help_diagnose,recurrent distressing dreams,recurrent distressing dreams,disease
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",Pittsburgh Sleep Quality Index,pittsburgh sleep quality index,method,help_diagnose,sleep quality,sleep quality,Health_factors
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",PSQI,psqi,method,help_diagnose,sleep quality,sleep quality,Health_factors
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",PSQI,psqi,method,abbreviation_for,Pittsburgh Sleep Quality Index,pittsburgh sleep quality index,method
254,"The three primary outcome measures were the change in score from baseline to 10 weeks on the Clinician-Administered PTSD Scale ( CAPS ) item B2 ( ' recurrent distressing dreams ' ; scores range from 0 to 8 , with higher scores indicating more frequent and more distressing dreams ) ; the change in score from baseline to 10 weeks on the Pittsburgh Sleep Quality Index ( PSQI ; scores range from 0 to 21 , with higher scores indicating worse sleep quality ) ; and the Clinical Global Impression of Change ( CGIC ) score at 10 weeks ( scores range from 1 to 7 , with lower scores indicating greater improvement and a score of 4 indicating no change ) .",CGIC,cgic,method,abbreviation_for,Clinical Global Impression of Change,clinical global impression of change,method
256,"At 10 weeks , there were no significant differences between the prazosin group and the placebo group in the mean change from baseline in the CAPS item B2 score ( between-group difference , 0 . 2 ; 95 % confidence interval [ CI ] , - 0 . 3 to 0 . 8 ; P = 0 . 38 ) , in the mean change in PSQI score ( between-group difference , 0 . 1 ; 95 % CI , - 0 . 9 to 1 . 1 ; P = 0 . 80 ) , or in the CGIC score ( between-group difference , 0 ; 95 % CI , - 0 . 3 to 0 . 3 ; P = 0 . 96 ) .",CI,ci,method,abbreviation_for,confidence interval,confidence interval,method
262,"Emraclidine , a novel positive allosteric modulator of cholinergic M4 receptors , for the treatment of schizophrenia : a two-part , randomised , double-blind , placebo-controlled , phase 1b trial . BACKGROUND : Emraclidine is a novel , brain-penetrant , highly selective M4 receptor positive allosteric modulator in development for the treatment of schizophrenia .",Emraclidine,emraclidine,drug,treatment_for,schizophrenia,schizophrenia,disease
262,"Emraclidine , a novel positive allosteric modulator of cholinergic M4 receptors , for the treatment of schizophrenia : a two-part , randomised , double-blind , placebo-controlled , phase 1b trial . BACKGROUND : Emraclidine is a novel , brain-penetrant , highly selective M4 receptor positive allosteric modulator in development for the treatment of schizophrenia .",Emraclidine,emraclidine,drug,treatment_for,schizophrenia,schizophrenia,disease
262,"Emraclidine , a novel positive allosteric modulator of cholinergic M4 receptors , for the treatment of schizophrenia : a two-part , randomised , double-blind , placebo-controlled , phase 1b trial . BACKGROUND : Emraclidine is a novel , brain-penetrant , highly selective M4 receptor positive allosteric modulator in development for the treatment of schizophrenia .",Emraclidine,emraclidine,drug,treatment_for,schizophrenia,schizophrenia,disease
265,"Eligible participants were aged 18-50 years ( part A ) or 18-55 years ( part B ) with a primary diagnosis of schizophrenia per the Diagnostic and Statistical Manual of Mental Disorders 5th edition , as confirmed by the Mini International Neuropsychiatric Interview , and extrapyramidal symptom assessments indicating normal to mild symptoms at screening .",Diagnostic and Statistical Manual of Mental Disorders 5th edition,diagnostic and statistical manual of mental disorders 5th edition,method,help_diagnose,schizophrenia,schizophrenia,disease
265,"Eligible participants were aged 18-50 years ( part A ) or 18-55 years ( part B ) with a primary diagnosis of schizophrenia per the Diagnostic and Statistical Manual of Mental Disorders 5th edition , as confirmed by the Mini International Neuropsychiatric Interview , and extrapyramidal symptom assessments indicating normal to mild symptoms at screening .",Mini International Neuropsychiatric Interview,mini international neuropsychiatric interview,method,help_diagnose,schizophrenia,schizophrenia,disease
265,"Eligible participants were aged 18-50 years ( part A ) or 18-55 years ( part B ) with a primary diagnosis of schizophrenia per the Diagnostic and Statistical Manual of Mental Disorders 5th edition , as confirmed by the Mini International Neuropsychiatric Interview , and extrapyramidal symptom assessments indicating normal to mild symptoms at screening .",extrapyramidal symptom assessments,extrapyramidal symptom assessments,method,help_diagnose,schizophrenia,schizophrenia,disease
267,"Part B was a double-blind , randomised , placebo-controlled study that enrolled adults with acute schizophrenia across five US sites ; participants were randomly assigned ( 1 : 1 : 1 ) to receive emraclidine 30 mg once daily , emraclidine 20 mg twice daily , or placebo for 6 weeks ( doses established in part A ) .",adults,adults,Health_factors,occurs_in,acute schizophrenia,acute schizophrenia,disease
275,"Modest , transient increases in blood pressure and heart rate in emraclidine groups observed at treatment initiation diminished over time and were not considered clinically meaningful by week 6 .",heart rate,heart rate,signs,occurs_in,emraclidine,emraclidine,drug
276,INTERPRETATION : These data support further investigation of emraclidine as a once-daily treatment for schizophrenia without need for titration and with a potentially favourable side-effect profile .,emraclidine,emraclidine,drug,treatment_for,schizophrenia,schizophrenia,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",social deficits,social deficits,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",neuropsychiatric disorders,neuropsychiatric disorders,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",schizophrenia,schizophrenia,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",schizophrenia,schizophrenia,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",SCZ,scz,disease,abbreviation_for,schizophrenia,schizophrenia,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",SCZ,scz,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",SCZ,scz,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",Alzheimer's disease,alzheimer's disease,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",AD,ad,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",AD,ad,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",major depressive disorder,major depressive disorder,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",major depressive disorder,major depressive disorder,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",MDD,mdd,disease,hyponym_of,neuropsychiatric disorders,neuropsychiatric disorders,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",MDD,mdd,disease,risk_factor_of,social dysfunction,social dysfunction,disease
281,"Consistently , social deficits sometimes represent the first signs of a number of neuropsychiatric disorders including schizophrenia ( SCZ ) , Alzheimer's disease ( AD ) and major depressive disorder ( MDD ) which leads to a progressive social dysfunction .",MDD,mdd,disease,abbreviation_for,major depressive disorder,major depressive disorder,disease
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",neurobiological substrates,neurobiological substrates,physiology,associated_with,social functioning,social functioning,Health_factors
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",neurobiological substrates,neurobiological substrates,physiology,associated_with,social dysfunction,social dysfunction,disease
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",neurobiological substrates,neurobiological substrates,physiology,associated_with,social withdrawal,social withdrawal,disease
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",social functioning,social functioning,Health_factors,occurs_in,major psychiatric disorders,major psychiatric disorders,disease
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",social dysfunction,social dysfunction,disease,occurs_in,major psychiatric disorders,major psychiatric disorders,disease
282,"In the present review we summarize present knowledge linking neurobiological substrates sustaining social functioning , social dysfunction and social withdrawal in major psychiatric disorders .",social withdrawal,social withdrawal,disease,occurs_in,major psychiatric disorders,major psychiatric disorders,disease
283,"Interestingly , AD , SCZ , and MDD affect the social brain in similar ways .",AD,ad,disease,associated_with,social brain,social brain,region
283,"Interestingly , AD , SCZ , and MDD affect the social brain in similar ways .",SCZ,scz,disease,associated_with,social brain,social brain,region
283,"Interestingly , AD , SCZ , and MDD affect the social brain in similar ways .",MDD,mdd,disease,associated_with,social brain,social brain,region
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,Long-term potentiation,long-term potentiation,physiology,associated_with,information storage,information storage,physiology
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,LTP,ltp,physiology,abbreviation_for,Long-term potentiation,long-term potentiation,physiology
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,LTP,ltp,physiology,associated_with,information storage,information storage,physiology
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,long-term depression,long-term depression,disease,associated_with,information storage,information storage,physiology
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,LTD,ltd,physiology,abbreviation_for,long-term depression,long-term depression,disease
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,LTD,ltd,physiology,associated_with,information storage,information storage,physiology
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,information storage,information storage,physiology,located_in,CA1,ca1,region
285,Long-term potentiation ( LTP ) and long-term depression ( LTD ) are persistent modifications of synaptic efficacy that may contribute to information storage in the CA1 region of the hippocampus .,information storage,information storage,physiology,located_in,hippocampus,hippocampus,region
